EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 4433,210687,MUNCHEN-BOGENHAUSEN                     ,DE,+48:08:42,+011:36:05, 521, QQ6,19460701,19531231,   11,National Climate Data Center (DWD)                
 4433,210688,MUNCHEN-BOTANISCHER GARTEN              ,DE,+48:09:52,+011:30:12, 515, QQ6,19360102,19540930,   11,National Climate Data Center (DWD)                
 4433,210689,MUNCHEN-NYMPHENBURG                     ,DE,+48:10:01,+011:30:09, 515, QQ6,19550101,19980831,   11,National Climate Data Center (DWD)                
   52,115785,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, HU3,19850101,20210331,   11,National Climate Data Center (DWD)                
   52,126267,MUNCHEN-BOGENHAUSEN                     ,DE,+48:08:42,+011:36:05, 521, HU3,19451101,19531231,   11,National Climate Data Center (DWD)                
   52,126279,MUNCHEN-BOTANISCHER GARTEN              ,DE,+48:09:52,+011:30:12, 515, HU3,18790101,19451031,   11,National Climate Data Center (DWD)                
   52,126291,MUNCHEN-NYMPHENBURG                     ,DE,+48:10:01,+011:30:09, 515, HU3,19550101,19990331,   11,National Climate Data Center (DWD)                
   52,910865,MUENCHEN-STADT                          ,DE,+48:10:00,+011:33:00, 526, HU6,20150501,20200229,     ,                    
 4431,115785,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, HU3,19850101,20210331,   11,National Climate Data Center (DWD)                
 4431,126267,MUNCHEN-BOGENHAUSEN                     ,DE,+48:08:42,+011:36:05, 521, HU3,19451101,19531231,   11,National Climate Data Center (DWD)                
 4431,126279,MUNCHEN-BOTANISCHER GARTEN              ,DE,+48:09:52,+011:30:12, 515, HU3,18790101,19451031,   11,National Climate Data Center (DWD)                
 4431,126291,MUNCHEN-NYMPHENBURG                     ,DE,+48:10:01,+011:30:09, 515, HU3,19550101,19990331,   11,National Climate Data Center (DWD)                
 4431,126315,MUNCHEN-RIEM                            ,DE,+48:08:16,+011:42:39, 529, HU3,19400101,19920516,   11,National Climate Data Center (DWD)                
 4431,910865,MUENCHEN-STADT                          ,DE,+48:10:00,+011:33:00, 526, HU6,20150501,20200229,     ,                    
 4432,115785,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, HU3,19850101,20210331,   11,National Climate Data Center (DWD)                
 4432,126267,MUNCHEN-BOGENHAUSEN                     ,DE,+48:08:42,+011:36:05, 521, HU3,19451101,19531231,   11,National Climate Data Center (DWD)                
 4432,126279,MUNCHEN-BOTANISCHER GARTEN              ,DE,+48:09:52,+011:30:12, 515, HU3,18790101,19451031,   11,National Climate Data Center (DWD)                
 4432,126291,MUNCHEN-NYMPHENBURG                     ,DE,+48:10:01,+011:30:09, 515, HU3,19550101,19990331,   11,National Climate Data Center (DWD)                
 4432,910865,MUENCHEN-STADT                          ,DE,+48:10:00,+011:33:00, 526, HU6,20150501,20200229,     ,                    
 4433,115785,MUENCHEN                                ,DE,+48:09:51,+011:32:39, 515, HU3,19850101,20210331,   11,National Climate Data Center (DWD)                
 4433,126267,MUNCHEN-BOGENHAUSEN                     ,DE,+48:08:42,+011:36:05, 521, HU3,19451101,19531231,   11,National Climate Data Center (DWD)                
 4433,126279,MUNCHEN-BOTANISCHER GARTEN              ,DE,+48:09:52,+011:30:12, 515, HU3,18790101,19451031,   11,National Climate Data Center (DWD)                
