EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, MUENCHEN (STAID: 52).
Blended and updated with sources: 115785 126267 126279 126291 910865 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
126279,18790101,   73,    0
126279,18790102,   81,    0
126279,18790103,   83,    0
126279,18790104,   76,    0
126279,18790105,   90,    0
126279,18790106,   87,    0
126279,18790107,   93,    0
126279,18790108,   82,    0
126279,18790109,   95,    0
126279,18790110,   92,    0
126279,18790111,   86,    0
126279,18790112,   86,    0
126279,18790113,   83,    0
126279,18790114,   87,    0
126279,18790115,   84,    0
126279,18790116,   74,    0
126279,18790117,   90,    0
126279,18790118,   88,    0
126279,18790119,   76,    0
126279,18790120,   76,    0
126279,18790121,   81,    0
126279,18790122,   72,    0
126279,18790123,   76,    0
126279,18790124,   79,    0
126279,18790125,   84,    0
126279,18790126,   92,    0
126279,18790127,   93,    0
126279,18790128,   89,    0
126279,18790129,   84,    0
126279,18790130,   88,    0
126279,18790131,   89,    0
126279,18790201,   87,    0
126279,18790202,   85,    0
126279,18790203,   87,    0
126279,18790204,   84,    0
126279,18790205,   98,    0
126279,18790206,   83,    0
126279,18790207,   65,    0
126279,18790208,   68,    0
126279,18790209,   63,    0
126279,18790210,   61,    0
126279,18790211,   93,    0
126279,18790212,   88,    0
126279,18790213,   77,    0
126279,18790214,   84,    0
126279,18790215,   89,    0
126279,18790216,   85,    0
126279,18790217,   75,    0
126279,18790218,   76,    0
126279,18790219,   81,    0
126279,18790220,   79,    0
126279,18790221,   71,    0
126279,18790222,   80,    0
126279,18790223,   98,    0
126279,18790224,   88,    0
126279,18790225,   91,    0
126279,18790226,   75,    0
126279,18790227,   86,    0
126279,18790228,   80,    0
126279,18790301,   83,    0
126279,18790302,   89,    0
126279,18790303,   86,    0
126279,18790304,   89,    0
126279,18790305,   80,    0
126279,18790306,   82,    0
126279,18790307,   85,    0
126279,18790308,   83,    0
126279,18790309,   78,    0
126279,18790310,   52,    0
126279,18790311,   68,    0
126279,18790312,   72,    0
126279,18790313,   87,    0
126279,18790314,   79,    0
126279,18790315,   69,    0
126279,18790316,   63,    0
126279,18790317,   73,    0
126279,18790318,   89,    0
126279,18790319,   57,    0
126279,18790320,   78,    0
126279,18790321,   88,    0
126279,18790322,   83,    0
126279,18790323,   90,    0
126279,18790324,   87,    0
126279,18790325,   80,    0
126279,18790326,   77,    0
126279,18790327,   88,    0
126279,18790328,   86,    0
126279,18790329,   79,    0
126279,18790330,   80,    0
126279,18790331,   64,    0
126279,18790401,   42,    0
126279,18790402,   39,    0
126279,18790403,   81,    0
126279,18790404,   70,    0
126279,18790405,   53,    0
126279,18790406,   51,    0
126279,18790407,   39,    0
126279,18790408,   37,    0
126279,18790409,   72,    0
126279,18790410,   86,    0
126279,18790411,   88,    0
126279,18790412,   92,    0
126279,18790413,   73,    0
126279,18790414,   75,    0
126279,18790415,   68,    0
126279,18790416,   70,    0
126279,18790417,   89,    0
126279,18790418,   86,    0
126279,18790419,   68,    0
126279,18790420,   49,    0
126279,18790421,   63,    0
126279,18790422,   71,    0
126279,18790423,   57,    0
126279,18790424,   56,    0
126279,18790425,   78,    0
126279,18790426,   80,    0
126279,18790427,   60,    0
126279,18790428,   77,    0
126279,18790429,   68,    0
126279,18790430,   76,    0
126279,18790501,   55,    0
126279,18790502,   55,    0
126279,18790503,   61,    0
126279,18790504,   94,    0
126279,18790505,   85,    0
126279,18790506,   69,    0
126279,18790507,   81,    0
126279,18790508,   77,    0
126279,18790509,   76,    0
126279,18790510,   92,    0
126279,18790511,   69,    0
126279,18790512,   58,    0
126279,18790513,   56,    0
126279,18790514,   51,    0
126279,18790515,   80,    0
126279,18790516,   83,    0
126279,18790517,   87,    0
126279,18790518,   80,    0
126279,18790519,   60,    0
126279,18790520,   54,    0
126279,18790521,   64,    0
126279,18790522,   65,    0
126279,18790523,   60,    0
126279,18790524,   81,    0
126279,18790525,   76,    0
126279,18790526,   75,    0
126279,18790527,   63,    0
126279,18790528,   49,    0
126279,18790529,   71,    0
126279,18790530,   61,    0
126279,18790531,   73,    0
126279,18790601,   66,    0
126279,18790602,   63,    0
126279,18790603,   56,    0
126279,18790604,   67,    0
126279,18790605,   71,    0
126279,18790606,   75,    0
126279,18790607,   55,    0
126279,18790608,   65,    0
126279,18790609,   71,    0
126279,18790610,   66,    0
126279,18790611,   56,    0
126279,18790612,   80,    0
126279,18790613,   76,    0
126279,18790614,   67,    0
126279,18790615,   61,    0
126279,18790616,   68,    0
126279,18790617,   81,    0
126279,18790618,   78,    0
126279,18790619,   72,    0
126279,18790620,   53,    0
126279,18790621,   62,    0
126279,18790622,   69,    0
126279,18790623,   72,    0
126279,18790624,   64,    0
126279,18790625,   91,    0
126279,18790626,   51,    0
126279,18790627,   56,    0
126279,18790628,   45,    0
126279,18790629,   63,    0
126279,18790630,   73,    0
126279,18790701,   69,    0
126279,18790702,   79,    0
126279,18790703,   53,    0
126279,18790704,   84,    0
126279,18790705,   76,    0
126279,18790706,   78,    0
126279,18790707,   78,    0
126279,18790708,   65,    0
126279,18790709,   71,    0
126279,18790710,   59,    0
126279,18790711,   86,    0
126279,18790712,   64,    0
126279,18790713,   65,    0
126279,18790714,   90,    0
126279,18790715,   82,    0
126279,18790716,   67,    0
126279,18790717,   67,    0
126279,18790718,   66,    0
126279,18790719,   60,    0
126279,18790720,   64,    0
126279,18790721,   50,    0
126279,18790722,   57,    0
126279,18790723,   78,    0
126279,18790724,   72,    0
126279,18790725,   60,    0
126279,18790726,   59,    0
126279,18790727,   88,    0
126279,18790728,   65,    0
126279,18790729,   55,    0
126279,18790730,   62,    0
126279,18790731,   64,    0
126279,18790801,   57,    0
126279,18790802,   59,    0
126279,18790803,   57,    0
126279,18790804,   68,    0
126279,18790805,   72,    0
126279,18790806,   73,    0
126279,18790807,   66,    0
126279,18790808,   62,    0
126279,18790809,   82,    0
126279,18790810,   67,    0
126279,18790811,   58,    0
126279,18790812,   57,    0
126279,18790813,   55,    0
126279,18790814,   51,    0
126279,18790815,   61,    0
126279,18790816,   72,    0
126279,18790817,   74,    0
126279,18790818,   66,    0
126279,18790819,   93,    0
126279,18790820,   78,    0
126279,18790821,   63,    0
126279,18790822,   68,    0
126279,18790823,   73,    0
126279,18790824,   72,    0
126279,18790825,   70,    0
126279,18790826,   66,    0
126279,18790827,   56,    0
126279,18790828,   54,    0
126279,18790829,   56,    0
126279,18790830,   75,    0
126279,18790831,   77,    0
126279,18790901,   74,    0
126279,18790902,   67,    0
126279,18790903,   63,    0
126279,18790904,   72,    0
126279,18790905,   65,    0
126279,18790906,   70,    0
126279,18790907,   76,    0
126279,18790908,   66,    0
126279,18790909,   81,    0
126279,18790910,   70,    0
126279,18790911,   72,    0
126279,18790912,   68,    0
126279,18790913,   62,    0
126279,18790914,   67,    0
126279,18790915,   67,    0
126279,18790916,   73,    0
126279,18790917,   85,    0
126279,18790918,   76,    0
126279,18790919,   83,    0
126279,18790920,   91,    0
126279,18790921,   93,    0
126279,18790922,   91,    0
126279,18790923,   85,    0
126279,18790924,   86,    0
126279,18790925,   94,    0
126279,18790926,   95,    0
126279,18790927,   92,    0
126279,18790928,   84,    0
126279,18790929,   84,    0
126279,18790930,   90,    0
126279,18791001,   87,    0
126279,18791002,   78,    0
126279,18791003,   78,    0
126279,18791004,   82,    0
126279,18791005,   85,    0
126279,18791006,   91,    0
126279,18791007,   83,    0
126279,18791008,   85,    0
126279,18791009,   80,    0
126279,18791010,   91,    0
126279,18791011,   76,    0
126279,18791012,   75,    0
126279,18791013,   78,    0
126279,18791014,   88,    0
126279,18791015,   89,    0
126279,18791016,   91,    0
126279,18791017,   69,    0
126279,18791018,   82,    0
126279,18791019,   73,    0
126279,18791020,   72,    0
126279,18791021,   81,    0
126279,18791022,   82,    0
126279,18791023,   70,    0
126279,18791024,   72,    0
126279,18791025,   93,    0
126279,18791026,   90,    0
126279,18791027,   94,    0
126279,18791028,   92,    0
126279,18791029,   91,    0
126279,18791030,   87,    0
126279,18791031,   87,    0
126279,18791101,   86,    0
126279,18791102,   91,    0
126279,18791103,   91,    0
126279,18791104,   81,    0
126279,18791105,   74,    0
126279,18791106,   78,    0
126279,18791107,   82,    0
126279,18791108,   82,    0
126279,18791109,   83,    0
126279,18791110,   84,    0
126279,18791111,   87,    0
126279,18791112,   78,    0
126279,18791113,   89,    0
126279,18791114,   80,    0
126279,18791115,   76,    0
126279,18791116,   81,    0
126279,18791117,   80,    0
126279,18791118,   90,    0
126279,18791119,   84,    0
126279,18791120,   78,    0
126279,18791121,   85,    0
126279,18791122,   82,    0
126279,18791123,   79,    0
126279,18791124,   89,    0
126279,18791125,   88,    0
126279,18791126,   88,    0
126279,18791127,   78,    0
126279,18791128,   80,    0
126279,18791129,   80,    0
126279,18791130,   77,    0
126279,18791201,   78,    0
126279,18791202,   82,    0
126279,18791203,   85,    0
126279,18791204,   88,    0
126279,18791205,   86,    0
126279,18791206,   84,    0
126279,18791207,   87,    0
126279,18791208,   87,    0
126279,18791209,   87,    0
126279,18791210,   87,    0
126279,18791211,   84,    0
126279,18791212,   94,    0
126279,18791213,   91,    0
126279,18791214,   95,    0
126279,18791215,   91,    0
126279,18791216,   85,    0
126279,18791217,   95,    0
126279,18791218,   95,    0
126279,18791219,   96,    0
126279,18791220,   93,    0
126279,18791221,   87,    0
126279,18791222,   89,    0
126279,18791223,   87,    0
126279,18791224,   83,    0
126279,18791225,   83,    0
126279,18791226,   88,    0
126279,18791227,   87,    0
126279,18791228,   85,    0
126279,18791229,   42,    0
126279,18791230,   81,    0
126279,18791231,   75,    0
126279,18800101,   85,    0
126279,18800102,   83,    0
126279,18800103,   77,    0
126279,18800104,   85,    0
126279,18800105,   96,    0
126279,18800106,   90,    0
126279,18800107,   97,    0
126279,18800108,   95,    0
126279,18800109,   95,    0
126279,18800110,   93,    0
126279,18800111,   80,    0
126279,18800112,   81,    0
126279,18800113,   98,    0
126279,18800114,   82,    0
126279,18800115,   76,    0
126279,18800116,   78,    0
126279,18800117,   85,    0
126279,18800118,   84,    0
126279,18800119,   86,    0
126279,18800120,   79,    0
126279,18800121,   86,    0
126279,18800122,   84,    0
126279,18800123,   87,    0
126279,18800124,   90,    0
126279,18800125,   91,    0
126279,18800126,   91,    0
126279,18800127,   89,    0
126279,18800128,   83,    0
126279,18800129,   83,    0
126279,18800130,   95,    0
126279,18800131,   92,    0
126279,18800201,   88,    0
126279,18800202,   92,    0
126279,18800203,   93,    0
126279,18800204,   97,    0
126279,18800205,   85,    0
126279,18800206,   83,    0
126279,18800207,   87,    0
126279,18800208,   88,    0
126279,18800209,   84,    0
126279,18800210,   80,    0
126279,18800211,   85,    0
126279,18800212,   90,    0
126279,18800213,   93,    0
126279,18800214,   84,    0
126279,18800215,   86,    0
126279,18800216,   88,    0
126279,18800217,   80,    0
126279,18800218,   88,    0
126279,18800219,   73,    0
126279,18800220,   66,    0
126279,18800221,   63,    0
126279,18800222,   84,    0
126279,18800223,   95,    0
126279,18800224,   95,    0
126279,18800225,   89,    0
126279,18800226,   74,    0
126279,18800227,   90,    0
126279,18800228,   62,    0
126279,18800229,   67,    0
126279,18800301,   77,    0
126279,18800302,   64,    0
126279,18800303,   34,    0
126279,18800304,   80,    0
126279,18800305,   81,    0
126279,18800306,   80,    0
126279,18800307,   84,    0
126279,18800308,   88,    0
126279,18800309,   62,    0
126279,18800310,   71,    0
126279,18800311,   64,    0
126279,18800312,   69,    0
126279,18800313,   52,    0
126279,18800314,   60,    0
126279,18800315,   64,    0
126279,18800316,   77,    0
126279,18800317,   95,    0
126279,18800318,   76,    0
126279,18800319,   72,    0
126279,18800320,   56,    0
126279,18800321,   72,    0
126279,18800322,   72,    0
126279,18800323,   70,    0
126279,18800324,   53,    0
126279,18800325,   41,    0
126279,18800326,   46,    0
126279,18800327,   44,    0
126279,18800328,   46,    0
126279,18800329,   47,    0
126279,18800330,   52,    0
126279,18800331,   80,    0
126279,18800401,   64,    0
126279,18800402,   78,    0
126279,18800403,   73,    0
126279,18800404,   81,    0
126279,18800405,   67,    0
126279,18800406,   76,    0
126279,18800407,   70,    0
126279,18800408,   93,    0
126279,18800409,   90,    0
126279,18800410,   85,    0
126279,18800411,   78,    0
126279,18800412,   74,    0
126279,18800413,   59,    0
126279,18800414,   39,    0
126279,18800415,   38,    0
126279,18800416,   44,    0
126279,18800417,   65,    0
126279,18800418,   86,    0
126279,18800419,   67,    0
126279,18800420,   62,    0
126279,18800421,   71,    0
126279,18800422,   67,    0
126279,18800423,   67,    0
126279,18800424,   66,    0
126279,18800425,   65,    0
126279,18800426,   83,    0
126279,18800427,   87,    0
126279,18800428,   89,    0
126279,18800429,   89,    0
126279,18800430,   77,    0
126279,18800501,   69,    0
126279,18800502,   75,    0
126279,18800503,   78,    0
126279,18800504,   79,    0
126279,18800505,   73,    0
126279,18800506,   80,    0
126279,18800507,   87,    0
126279,18800508,   92,    0
126279,18800509,   87,    0
126279,18800510,   66,    0
126279,18800511,   64,    0
126279,18800512,   70,    0
126279,18800513,   72,    0
126279,18800514,   73,    0
126279,18800515,   64,    0
126279,18800516,   58,    0
126279,18800517,   59,    0
126279,18800518,   57,    0
126279,18800519,   83,    0
126279,18800520,   63,    0
126279,18800521,   57,    0
126279,18800522,   59,    0
126279,18800523,   76,    0
126279,18800524,   54,    0
126279,18800525,   49,    0
126279,18800526,   45,    0
126279,18800527,   44,    0
126279,18800528,   65,    0
126279,18800529,   87,    0
126279,18800530,   87,    0
126279,18800531,   88,    0
126279,18800601,   75,    0
126279,18800602,   72,    0
126279,18800603,   59,    0
126279,18800604,   57,    0
126279,18800605,   87,    0
126279,18800606,   56,    0
126279,18800607,   67,    0
126279,18800608,   57,    0
126279,18800609,   57,    0
126279,18800610,   72,    0
126279,18800611,   58,    0
126279,18800612,   77,    0
126279,18800613,   81,    0
126279,18800614,   77,    0
126279,18800615,   65,    0
126279,18800616,   87,    0
126279,18800617,   70,    0
126279,18800618,   77,    0
126279,18800619,   67,    0
126279,18800620,   72,    0
126279,18800621,   86,    0
126279,18800622,   78,    0
126279,18800623,   57,    0
126279,18800624,   73,    0
126279,18800625,   62,    0
126279,18800626,   56,    0
126279,18800627,   63,    0
126279,18800628,   76,    0
126279,18800629,   63,    0
126279,18800630,   56,    0
126279,18800701,   68,    0
126279,18800702,   68,    0
126279,18800703,   74,    0
126279,18800704,   88,    0
126279,18800705,   76,    0
126279,18800706,   60,    0
126279,18800707,   60,    0
126279,18800708,   75,    0
126279,18800709,   73,    0
126279,18800710,   70,    0
126279,18800711,   60,    0
126279,18800712,   73,    0
126279,18800713,   66,    0
126279,18800714,   62,    0
126279,18800715,   63,    0
126279,18800716,   61,    0
126279,18800717,   51,    0
126279,18800718,   56,    0
126279,18800719,   62,    0
126279,18800720,   69,    0
126279,18800721,   80,    0
126279,18800722,   83,    0
126279,18800723,   69,    0
126279,18800724,   60,    0
126279,18800725,   59,    0
126279,18800726,   56,    0
126279,18800727,   65,    0
126279,18800728,   68,    0
126279,18800729,   53,    0
126279,18800730,   76,    0
126279,18800731,   56,    0
126279,18800801,   67,    0
126279,18800802,   73,    0
126279,18800803,   84,    0
126279,18800804,   84,    0
126279,18800805,   60,    0
126279,18800806,   58,    0
126279,18800807,   87,    0
126279,18800808,   66,    0
126279,18800809,   75,    0
126279,18800810,   72,    0
126279,18800811,   73,    0
126279,18800812,   92,    0
126279,18800813,   82,    0
126279,18800814,   80,    0
126279,18800815,   81,    0
126279,18800816,   79,    0
126279,18800817,   82,    0
126279,18800818,   78,    0
126279,18800819,   70,    0
126279,18800820,   77,    0
126279,18800821,   74,    0
126279,18800822,   86,    0
126279,18800823,   78,    0
126279,18800824,   84,    0
126279,18800825,   70,    0
126279,18800826,   71,    0
126279,18800827,   87,    0
126279,18800828,   78,    0
126279,18800829,   70,    0
126279,18800830,   63,    0
126279,18800831,   70,    0
126279,18800901,   72,    0
126279,18800902,   66,    0
126279,18800903,   63,    0
126279,18800904,   59,    0
126279,18800905,   67,    0
126279,18800906,   77,    0
126279,18800907,   70,    0
126279,18800908,   74,    0
126279,18800909,   87,    0
126279,18800910,   89,    0
126279,18800911,   82,    0
126279,18800912,   86,    0
126279,18800913,   83,    0
126279,18800914,   66,    0
126279,18800915,   75,    0
126279,18800916,   88,    0
126279,18800917,   69,    0
126279,18800918,   77,    0
126279,18800919,   68,    0
126279,18800920,   81,    0
126279,18800921,   82,    0
126279,18800922,   77,    0
126279,18800923,   88,    0
126279,18800924,   86,    0
126279,18800925,   87,    0
126279,18800926,   74,    0
126279,18800927,   73,    0
126279,18800928,   78,    0
126279,18800929,   79,    0
126279,18800930,   80,    0
126279,18801001,   78,    0
126279,18801002,   73,    0
126279,18801003,   88,    0
126279,18801004,   91,    0
126279,18801005,   88,    0
126279,18801006,   69,    0
126279,18801007,   75,    0
126279,18801008,   79,    0
126279,18801009,   68,    0
126279,18801010,   79,    0
126279,18801011,   85,    0
126279,18801012,   92,    0
126279,18801013,   83,    0
126279,18801014,   88,    0
126279,18801015,   78,    0
126279,18801016,   83,    0
126279,18801017,   93,    0
126279,18801018,   94,    0
126279,18801019,   80,    0
126279,18801020,   86,    0
126279,18801021,   92,    0
126279,18801022,   95,    0
126279,18801023,   70,    0
126279,18801024,   80,    0
126279,18801025,   81,    0
126279,18801026,   76,    0
126279,18801027,   92,    0
126279,18801028,   78,    0
126279,18801029,   60,    0
126279,18801030,   70,    0
126279,18801031,   74,    0
126279,18801101,   65,    0
126279,18801102,   84,    0
126279,18801103,   71,    0
126279,18801104,   78,    0
126279,18801105,   97,    0
126279,18801106,   89,    0
126279,18801107,   94,    0
126279,18801108,   90,    0
126279,18801109,   90,    0
126279,18801110,   73,    0
126279,18801111,   78,    0
126279,18801112,   70,    0
126279,18801113,   89,    0
126279,18801114,   67,    0
126279,18801115,   55,    0
126279,18801116,   55,    0
126279,18801117,   91,    0
126279,18801118,   76,    0
126279,18801119,   65,    0
126279,18801120,   83,    0
126279,18801121,   95,    0
126279,18801122,   88,    0
126279,18801123,   90,    0
126279,18801124,   77,    0
126279,18801125,   71,    0
126279,18801126,   82,    0
126279,18801127,   78,    0
126279,18801128,   90,    0
126279,18801129,   92,    0
126279,18801130,   91,    0
126279,18801201,   94,    0
126279,18801202,   73,    0
126279,18801203,   88,    0
126279,18801204,   90,    0
126279,18801205,   84,    0
126279,18801206,   90,    0
126279,18801207,   95,    0
126279,18801208,   97,    0
126279,18801209,   77,    0
126279,18801210,   89,    0
126279,18801211,   73,    0
126279,18801212,   71,    0
126279,18801213,   81,    0
126279,18801214,   81,    0
126279,18801215,   90,    0
126279,18801216,   83,    0
126279,18801217,   93,    0
126279,18801218,   86,    0
126279,18801219,   77,    0
126279,18801220,   54,    0
126279,18801221,   75,    0
126279,18801222,   73,    0
126279,18801223,   66,    0
126279,18801224,   66,    0
126279,18801225,   71,    0
126279,18801226,   84,    0
126279,18801227,   81,    0
126279,18801228,   82,    0
126279,18801229,   73,    0
126279,18801230,   78,    0
126279,18801231,   72,    0
126279,18810101,   84,    0
126279,18810102,   92,    0
126279,18810103,   94,    0
126279,18810104,  100,    0
126279,18810105,   95,    0
126279,18810106,   72,    0
126279,18810107,   62,    0
126279,18810108,   84,    0
126279,18810109,   80,    0
126279,18810110,   84,    0
126279,18810111,   79,    0
126279,18810112,   85,    0
126279,18810113,   63,    0
126279,18810114,   86,    0
126279,18810115,   78,    0
126279,18810116,   79,    0
126279,18810117,   69,    0
126279,18810118,   86,    0
126279,18810119,   86,    0
126279,18810120,   67,    0
126279,18810121,   76,    0
126279,18810122,   85,    0
126279,18810123,   84,    0
126279,18810124,   81,    0
126279,18810125,   73,    0
126279,18810126,   90,    0
126279,18810127,   92,    0
126279,18810128,   76,    0
126279,18810129,   62,    0
126279,18810130,   81,    0
126279,18810131,   88,    0
126279,18810201,   99,    0
126279,18810202,   97,    0
126279,18810203,   85,    0
126279,18810204,   82,    0
126279,18810205,   90,    0
126279,18810206,   76,    0
126279,18810207,   80,    0
126279,18810208,   75,    0
126279,18810209,   82,    0
126279,18810210,   69,    0
126279,18810211,   74,    0
126279,18810212,   76,    0
126279,18810213,   71,    0
126279,18810214,   73,    0
126279,18810215,   77,    0
126279,18810216,   73,    0
126279,18810217,   82,    0
126279,18810218,   87,    0
126279,18810219,   92,    0
126279,18810220,   93,    0
126279,18810221,   87,    0
126279,18810222,   94,    0
126279,18810223,   86,    0
126279,18810224,   84,    0
126279,18810225,   83,    0
126279,18810226,   75,    0
126279,18810227,   61,    0
126279,18810228,   72,    0
126279,18810301,   81,    0
126279,18810302,   71,    0
126279,18810303,   57,    0
126279,18810304,   76,    0
126279,18810305,   90,    0
126279,18810306,   83,    0
126279,18810307,   80,    0
126279,18810308,   64,    0
126279,18810309,   64,    0
126279,18810310,   74,    0
126279,18810311,   85,    0
126279,18810312,   76,    0
126279,18810313,   75,    0
126279,18810314,   63,    0
126279,18810315,   47,    0
126279,18810316,   35,    0
126279,18810317,   34,    0
126279,18810318,   45,    0
126279,18810319,   45,    0
126279,18810320,   49,    0
126279,18810321,   57,    0
126279,18810322,   68,    0
126279,18810323,   58,    0
126279,18810324,   71,    0
126279,18810325,   75,    0
126279,18810326,   68,    0
126279,18810327,   64,    0
126279,18810328,   81,    0
126279,18810329,   53,    0
126279,18810330,   82,    0
126279,18810331,   77,    0
126279,18810401,   63,    0
126279,18810402,   87,    0
126279,18810403,   94,    0
126279,18810404,   82,    0
126279,18810405,   79,    0
126279,18810406,   84,    0
126279,18810407,   89,    0
126279,18810408,   82,    0
126279,18810409,   81,    0
126279,18810410,   76,    0
126279,18810411,   89,    0
126279,18810412,   71,    0
126279,18810413,   67,    0
126279,18810414,   52,    0
126279,18810415,   69,    0
126279,18810416,   75,    0
126279,18810417,   51,    0
126279,18810418,   51,    0
126279,18810419,   79,    0
126279,18810420,   64,    0
126279,18810421,   58,    0
126279,18810422,   67,    0
126279,18810423,   78,    0
126279,18810424,   65,    0
126279,18810425,   58,    0
126279,18810426,   78,    0
126279,18810427,   84,    0
126279,18810428,   72,    0
126279,18810429,   71,    0
126279,18810430,   59,    0
126279,18810501,   49,    0
126279,18810502,   39,    0
126279,18810503,   51,    0
126279,18810504,   82,    0
126279,18810505,   67,    0
126279,18810506,   50,    0
126279,18810507,   42,    0
126279,18810508,   55,    0
126279,18810509,   53,    0
126279,18810510,   70,    0
126279,18810511,   75,    0
126279,18810512,   87,    0
126279,18810513,   88,    0
126279,18810514,   63,    0
126279,18810515,   50,    0
126279,18810516,   50,    0
126279,18810517,   67,    0
126279,18810518,   46,    0
126279,18810519,   40,    0
126279,18810520,   48,    0
126279,18810521,   72,    0
126279,18810522,   74,    0
126279,18810523,   71,    0
126279,18810524,   67,    0
126279,18810525,   83,    0
126279,18810526,   82,    0
126279,18810527,   76,    0
126279,18810528,   94,    0
126279,18810529,   88,    0
126279,18810530,   55,    0
126279,18810531,   51,    0
126279,18810601,   38,    0
126279,18810602,   44,    0
126279,18810603,   47,    0
126279,18810604,   59,    0
126279,18810605,   58,    0
126279,18810606,   48,    0
126279,18810607,   79,    0
126279,18810608,   85,    0
126279,18810609,   84,    0
126279,18810610,   63,    0
126279,18810611,   55,    0
126279,18810612,   56,    0
126279,18810613,   62,    0
126279,18810614,   53,    0
126279,18810615,   74,    0
126279,18810616,   74,    0
126279,18810617,   55,    0
126279,18810618,   51,    0
126279,18810619,   72,    0
126279,18810620,   62,    0
126279,18810621,   59,    0
126279,18810622,   45,    0
126279,18810623,   73,    0
126279,18810624,   70,    0
126279,18810625,   67,    0
126279,18810626,   77,    0
126279,18810627,   66,    0
126279,18810628,   63,    0
126279,18810629,   74,    0
126279,18810630,   58,    0
126279,18810701,   56,    0
126279,18810702,   54,    0
126279,18810703,   59,    0
126279,18810704,   47,    0
126279,18810705,   48,    0
126279,18810706,   47,    0
126279,18810707,   60,    0
126279,18810708,   55,    0
126279,18810709,   75,    0
126279,18810710,   65,    0
126279,18810711,   62,    0
126279,18810712,   56,    0
126279,18810713,   49,    0
126279,18810714,   56,    0
126279,18810715,   56,    0
126279,18810716,   49,    0
126279,18810717,   69,    0
126279,18810718,   62,    0
126279,18810719,   55,    0
126279,18810720,   43,    0
126279,18810721,   62,    0
126279,18810722,   85,    0
126279,18810723,   59,    0
126279,18810724,   56,    0
126279,18810725,   61,    0
126279,18810726,   74,    0
126279,18810727,   69,    0
126279,18810728,   71,    0
126279,18810729,   50,    0
126279,18810730,   44,    0
126279,18810731,   52,    0
126279,18810801,   44,    0
126279,18810802,   78,    0
126279,18810803,   63,    0
126279,18810804,   59,    0
126279,18810805,   64,    0
126279,18810806,   56,    0
126279,18810807,   62,    0
126279,18810808,   62,    0
126279,18810809,   54,    0
126279,18810810,   59,    0
126279,18810811,   51,    0
126279,18810812,   47,    0
126279,18810813,   53,    0
126279,18810814,   57,    0
126279,18810815,   75,    0
126279,18810816,   62,    0
126279,18810817,   88,    0
126279,18810818,   57,    0
126279,18810819,   55,    0
126279,18810820,   74,    0
126279,18810821,   59,    0
126279,18810822,   60,    0
126279,18810823,   67,    0
126279,18810824,   87,    0
126279,18810825,   67,    0
126279,18810826,   58,    0
126279,18810827,   77,    0
126279,18810828,   94,    0
126279,18810829,   68,    0
126279,18810830,   64,    0
126279,18810831,   80,    0
126279,18810901,   88,    0
126279,18810902,   87,    0
126279,18810903,   89,    0
126279,18810904,   78,    0
126279,18810905,   71,    0
126279,18810906,   73,    0
126279,18810907,   79,    0
126279,18810908,   68,    0
126279,18810909,   79,    0
126279,18810910,   66,    0
126279,18810911,   81,    0
126279,18810912,   75,    0
126279,18810913,   67,    0
126279,18810914,   66,    0
126279,18810915,   78,    0
126279,18810916,   84,    0
126279,18810917,   72,    0
126279,18810918,   73,    0
126279,18810919,   73,    0
126279,18810920,   74,    0
126279,18810921,   79,    0
126279,18810922,   75,    0
126279,18810923,   86,    0
126279,18810924,   84,    0
126279,18810925,   89,    0
126279,18810926,   79,    0
126279,18810927,   77,    0
126279,18810928,   86,    0
126279,18810929,   92,    0
126279,18810930,   83,    0
126279,18811001,   78,    0
126279,18811002,   87,    0
126279,18811003,   79,    0
126279,18811004,   75,    0
126279,18811005,   86,    0
126279,18811006,   74,    0
126279,18811007,   90,    0
126279,18811008,   91,    0
126279,18811009,   75,    0
126279,18811010,   74,    0
126279,18811011,   82,    0
126279,18811012,   82,    0
126279,18811013,   83,    0
126279,18811014,   65,    0
126279,18811015,   73,    0
126279,18811016,   81,    0
126279,18811017,   75,    0
126279,18811018,   88,    0
126279,18811019,   88,    0
126279,18811020,   80,    0
126279,18811021,   92,    0
126279,18811022,   91,    0
126279,18811023,   91,    0
126279,18811024,   91,    0
126279,18811025,   86,    0
126279,18811026,   92,    0
126279,18811027,   87,    0
126279,18811028,   87,    0
126279,18811029,   83,    0
126279,18811030,   91,    0
126279,18811031,   93,    0
126279,18811101,   94,    0
126279,18811102,   93,    0
126279,18811103,   90,    0
126279,18811104,   92,    0
126279,18811105,   93,    0
126279,18811106,   76,    0
126279,18811107,   82,    0
126279,18811108,   79,    0
126279,18811109,   82,    0
